Land;Kategorie;Kriterium;Regionaler Status;Kommentar;Interpretierter Status;URL
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133374471/133374473
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133377299/133377301
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133377319/133377321
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133377329/133377331
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133377349/133377351
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133377370/133377372
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133374536/133374538
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133377586/133377588
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133377596/133377598
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133376231/133376233
;Near Threatened;;;;;http:/www.iucnredlist.org/species/133376296/133376298
;Near Threatened;;;;;https://www.iucnredlist.org/species/96444634/136055620
;Near Threatened;;;;;https://www.iucnredlist.org/species/203367/2764403
;Near Threatened;;;;;https://www.iucnredlist.org/species/203367/67807718
;Near Threatened;;;;;http:/www.iucnredlist.org/species/100367062/100367104
;Near Threatened;;;;;http:/www.iucnredlist.org/species/173662/156962265
;Near Threatened;;;;;http:/www.iucnredlist.org/species/100367163/100367179
;Near Threatened;;;;;http:/www.iucnredlist.org/species/173400/1383426
;Near Threatened;;;;;http:/www.iucnredlist.org/species/174016/156961878
;Near Threatened;;;;;https://www.iucnredlist.org/species/174007/1409215
;Near Threatened;;;;;http:/www.iucnredlist.org/species/173715/1396310
;Near Threatened;;;;;http:/www.iucnredlist.org/species/173941/1405566
;Near Threatened;;;;;http:/www.iucnredlist.org/species/35021/156963664
;Near Threatened;;;;;http:/www.iucnredlist.org/species/173880/1403080
;Near Threatened;;;;;http:/www.iucnredlist.org/species/173697/1395480
;Near Threatened;;;;;http:/www.iucnredlist.org/species/173664/156961146
;Near Threatened;;;;;http:/www.iucnredlist.org/species/173495/1387487
;Near Threatened;;;;;http:/www.iucnredlist.org/species/173645/1393407
;Near Threatened;;;;;http:/www.iucnredlist.org/species/173457/1385973
;Near Threatened;;;;;http:/www.iucnredlist.org/species/173467/156963421
;Near Threatened;;;;;https://www.iucnredlist.org/species/163466498/169277648
;Near Threatened;;;;;http:/www.iucnredlist.org/species/145394842/145900030
;Indeterminate;;;;;http://www.legumes-online.net/ildis/aweb/database.htm
;LRlc;;;;;None
;Endangered (EN);;;;;http://www.biodic.go.jp/english/rdb/rdb_f.html
;Endangered;;;;;None
;Endangered;;;;;http:/www.iucnredlist.org/species/32954/68104636
;Endangered;;;;;https://www.iucnredlist.org/species/62027797/62027800
;Endangered;;;;;https://www.iucnredlist.org/species/33241/2835450
;Endangered;;;;;http:/www.iucnredlist.org/species/32308/2813424
;Endangered;;;;;http:/www.iucnredlist.org/species/191522/1987122
;Endangered;;;;;https://www.iucnredlist.org/species/193592/2244501
;Endangered;;;;;http:/www.iucnredlist.org/species/193593/2244567
;Endangered;;;;;https://www.iucnredlist.org/species/191466/1984397
;Endangered;;;;;https://www.iucnredlist.org/species/46386/3005900
;Endangered;;;;;https://www.iucnredlist.org/species/103451025/103451041
;Endangered;;;;;https://www.iucnredlist.org/species/193842/2285303
;Endangered;;;;;https://www.iucnredlist.org/species/191456/1983634
;Endangered;;;;;https://www.iucnredlist.org/species/120483837/120484007
;Endangered;;;;;https://www.iucnredlist.org/species/191460/1983954
;Endangered;;;;;https://www.iucnredlist.org/species/193876/2288054
;Endangered;;;;;https://www.iucnredlist.org/species/194715/2360064
;Endangered;;;;;https://www.iucnredlist.org/species/191463/1984196
;Endangered;;;;;https://www.iucnredlist.org/species/193891/2289468
;Endangered;;;;;http://www.environment.gov.au/cgi-bin/sprat/public/sprat.pl
;Endangered;;;;;http:/www.iucnredlist.org/species/133347650/133354595
;Endangered;;;;;http:/www.iucnredlist.org/species/133377668/133377670
;Endangered;;;;;http:/www.iucnredlist.org/species/133377874/133377876
;Endangered;;;;;http:/www.iucnredlist.org/species/133374766/133374768
;Endangered;;;;;https://florabase.dpaw.wa.gov.au/
;Endangered;;;;;http:/www.iucnredlist.org/species/133374806/133374808
;Endangered;;;;;http:/www.iucnredlist.org/species/133374858/133374860
;Endangered;;;;;http:/www.iucnredlist.org/species/133378075/133378077
;Endangered;;;;;http:/www.iucnredlist.org/species/133374908/133374910
;Endangered;;;;; https://data.qld.gov.au/dataset/census-of-the-queensland-flora-2017
;Endangered;;;;;http:/www.iucnredlist.org/species/133378324/133378326
;Endangered;;;;;http://plantnet.rbgsyd.nsw.gov.au
;Endangered;;;;;http:/www.iucnredlist.org/species/133378676/133378678
;Endangered;;;;;http:/www.iucnredlist.org/species/133375148/133375150
;Endangered;;;;;http:/www.iucnredlist.org/species/133375178/133375180
;Endangered;;;;;http:/www.iucnredlist.org/species/133376486/133376488
;Endangered;;;;;http:/www.iucnredlist.org/species/133376316/133376318
;Endangered;;;;;http:/www.iucnredlist.org/species/133373822/133373824
;Endangered;;;;;http:/www.iucnredlist.org/species/133373932/133373934
;Endangered;;;;;http:/www.iucnredlist.org/species/133373963/133373965
;Endangered;;;;;http:/www.iucnredlist.org/species/133373035/133373037
;Endangered;;;;;http:/www.iucnredlist.org/species/133375258/133375260
;Endangered;;;;;http:/www.iucnredlist.org/species/133379986/133379988
;Endangered;;;;;http:/www.iucnredlist.org/species/133375288/133375290
;Endangered;;;;;http:/www.iucnredlist.org/species/133375359/133375361
;Endangered;;;;;http://www.threatenedspecieslink.tas.gov.au/ 
;Endangered;;;;;http:/www.iucnredlist.org/species/133380212/133380214
;Endangered;;;;;http:/www.iucnredlist.org/species/137620028/137620033
;Endangered;;;;;http:/www.iucnredlist.org/species/133375464/133375466
;Endangered;;;;;http:/www.iucnredlist.org/species/133375484/133375486
;Endangered;;;;;http:/www.iucnredlist.org/species/133375494/133375496
;Endangered;;;;;http:/www.iucnredlist.org/species/133380768/133380770
;Endangered;;;;;http:/www.iucnredlist.org/species/133381009/133381011
;Endangered;;;;;http:/www.iucnredlist.org/species/133375767/133375769
;Endangered;;;;;http:/www.iucnredlist.org/species/133375777/133375779
;Endangered;;;;;http:/www.iucnredlist.org/species/133375830/133375832
;Endangered;;;;;http:/www.iucnredlist.org/species/137622612/137622700
